id,country_code,year,access_to_clean_water,"Government expenditure on education, total (% of GDP)",unemployment_rate,"Unemployment, total (% of total labor force) (national estimate)"
535,PAN,2023,,,6.544,6.678
536,PER,2021,95.6,3.92721009254456,5.097,5.097
537,PER,2022,96.2,3.83315992355347,3.85,4.291
538,PER,2023,,4.23516988754272,4.899,4.899
539,PHL,2021,97.5,3.87249755859375,3.398,3.398
540,PHL,2022,94.8,3.57960081100464,2.598,2.598
541,PHL,2023,,3.62368631362915,2.222,
542,PLW,2021,100.0,3.94417095184326,,
543,PLW,2022,100.0,3.57620143890381,,
544,PLW,2023,,3.43726491928101,,
545,PNG,2021,20.9,1.34599995613098,3.003,
546,PNG,2022,19.0,,2.689,2.689
547,PNG,2023,,,2.661,
