id,country_code,year,GDP (constant 2015 US$),gdp,GDP growth (annual %),inflation_rate,trade_balance,Trade in services (% of GDP)
563,PRY,2021,41964030301.4424,39950899938.7482,4.01673731780312,8.44812602664209,69.7422730211357,8.30911732923521
564,PRY,2022,42037903094.7486,41952910858.0846,0.176038366132886,8.05446050272607,73.7379050218566,10.8524195358977
565,PRY,2023,44019622007.0359,42956263543.9482,4.71412407945468,2.06875531020788,82.9887758742076,11.4781895002652
566,PSE,2021,15021700000.0,18109000000.0,7.01198227592003,8.95397174062261,73.0835496162129,14.5416082308534
567,PSE,2022,15635000000.0,19165500000.0,4.08276027347105,1.68265652739991,82.3949283869453,15.7698999474452
568,PSE,2023,14789000000.0,17420800000.0,-5.41093700031979,-3.90362226607192,86.3938510286554,16.5520728683931
569,PSS,2021,8901183466.72282,9552334875.22912,-2.6975312724781,2.47456266775067,76.7166195723468,20.0459767663419
570,PSS,2022,9715268608.62924,10339409999.0409,9.14580791363177,2.44798502613514,99.3658932159498,35.2513961171998
571,PSS,2023,10240406136.5469,11150695760.1484,5.40528058535874,6.1442403402407,,
572,PST,2021,49244517990855.6,55828871385191.0,5.64037131238418,2.7551375897485,57.3696451155794,14.2480612456331
573,PST,2022,50579346304791.6,57066750903167.4,2.71061301520687,6.32569953527321,64.5004217951286,15.8826311207688
574,PST,2023,51518547451179.3,60485245420468.7,1.85688668399959,5.81875394007432,60.2787369592627,16.311881844712
575,PYF,2021,5647511817.96257,6150640646.38319,2.09478896837454,0.198829632204649,51.6376084244727,
576,PYF,2022,5899733908.23199,5814661208.90544,4.46607459000271,1.79361104875255,67.2309662556929,
577,QAT,2021,164042828071.657,179732009554.846,1.62684672468288,22.4660221244491,92.7791585744,29.3137899402312
578,QAT,2022,170908036360.673,235709325708.341,4.18500971344966,25.8769173658359,100.213647202145,30.430943371891
579,QAT,2023,172936988054.474,213002809330.267,1.18715991184813,-10.6934814488438,,34.6100269297501
580,ROU,2021,221968423307.804,286578196368.297,5.5457096259051,5.61025509902417,86.6133494279219,19.0922585616193
581,ROU,2022,230770154206.928,296354358293.475,3.96530766311717,12.0919624576312,93.6215624887545,21.5366775761258
582,ROU,2023,236318495899.176,350775856415.189,2.40427177912809,12.7699377919606,83.0900673956751,20.3699498964973
583,RUS,2021,1502645054025.01,1843392293734.38,5.61429037578345,19.4115890615904,50.196441103259,7.12985567134732
584,RUS,2022,1471544636157.84,2266029240645.34,-2.06971152527731,16.7152740606271,43.2587048229719,5.28131444998448
585,RUS,2023,1524520243059.52,2021421476035.42,3.60000000000001,7.07360156603734,41.8285251825076,5.81903070907968
586,RWA,2021,11969881824.1057,11069280649.6459,10.8579677614975,2.85751132750647,54.6383114719509,11.2502894509967
587,RWA,2022,12946352833.8838,13316160895.0447,8.15773308481241,15.9144975139225,61.1450799962783,13.2084494636785
588,RWA,2023,14013299016.87,14097768472.1883,8.24128769450616,10.1301242308679,65.9840423400572,14.127626480861
589,SAS,2021,3598528699130.5,4079874340683.11,8.76361420829579,7.19536277510807,42.4703990902772,10.4479827380798
590,SAS,2022,3825711146764.84,4327392880815.64,6.31320371820946,7.49435251822787,47.4505168540273,12.4894721796328
591,SAS,2023,4085038610417.73,4494987381110.1,6.7785426997587,4.89510360030242,43.4092313015014,12.695232351901
592,SAU,2021,727553801683.839,874156000000.0,5.07511034987979,13.3007001530628,57.1428135634067,9.61887103236337
593,SAU,2022,782018364988.948,1108571466666.67,7.48598429134137,17.9839455619021,63.5136679204925,10.5504260127644
594,SAU,2023,776114792530.154,1067582933333.33,-0.754914810584665,-2.96488667496891,62.1270079002137,13.5373693242867
595,SDN,2021,48525909156.8784,34229513774.9936,-1.8685204827207,235.515443582343,4.12754863828426,8.77409380108307
596,SDN,2022,48061119947.9824,51666875363.0963,-0.957816591119183,116.874075405794,2.69883443585856,6.07809416683182
597,SDN,2023,38395271297.9345,109265503110.904,-20.1115759693272,213.72584787991,2.47372878246854,
598,SEN,2021,24359596784.117,27520784129.7508,6.54400109964304,1.44730627584974,69.3759939883832,18.4515413308284
599,SEN,2022,25291561739.5407,27619479059.6131,3.82586363675534,8.72786615579552,80.0330777056171,
600,SEN,2023,26450942459.8508,30848333083.7055,4.58406140454957,3.85182919223391,71.0045186879627,
601,SGP,2021,368871820049.825,434111559282.849,9.69076687082064,10.2637667092318,329.78497877736,122.008074710829
602,SGP,2022,383029403742.294,498474540987.78,3.83807678519807,13.4781380113655,332.981369857911,126.699242425998
603,SGP,2023,387147091448.002,501427500080.059,1.07503175095101,-3.06902994364776,311.240333622308,124.354943529649
604,SLB,2021,1474218469.89734,1522794913.0914,2.56434975416948,-5.504745457506,66.6394072717162,12.7019682882818
605,SLB,2022,1509636294.96603,1566360686.10632,2.40248143622522,2.01661207154767,78.0359309562018,18.442747062608
606,SLB,2023,1556129617.89488,1633319401.19414,3.07976981501386,3.88899446253055,,22.6170102977264
607,SLE,2021,8378218842.36525,7165214367.64956,5.8968527047094,7.43295884720851,42.1536156912291,4.77999433618454
608,SLE,2022,8823400076.25081,7119137321.90082,5.3135546141915,26.9524276570781,45.0667937946444,4.28663683741287
609,SLE,2023,9327218152.76882,6411869546.28929,5.7100218981806,29.2160488413443,55.8689763489874,6.10284958137372
610,SLV,2021,26571731219.3539,29043140000.0,11.9047617015957,4.14207468599355,81.8450759800765,18.5971998214036
611,SLV,2022,27315620697.1628,31988920000.0,2.79955216943868,7.143242839221,88.1547423295316,22.183421999519
612,SLV,2023,28274665875.3002,34015620000.0,3.51097706608982,2.7288450232809,80.9228818995509,22.8000844255534
613,SMR,2021,1604162946.37945,1855395999.76534,13.8977895076234,1.84143317836185,342.470174007962,91.3212241337492
